"GEOID","year","population"
"2430653",2022,1309.52404756771
"2430665",2022,669.350344702747
"2430675",2022,1092.29849330967
"2430325",2022,739.26176692594
"2430355",2022,6892.15808065315
"2430602",2022,3576.23779361071
"2430832",2022,1059.52692593645
"2430937",2022,1216.52187096317
"2430942",2022,1197.89982561095
"1505070",2022,1.27556698181434
"1505140",2022,2607.33371438933
"2430092",2022,1153.80314893529
"1110100",2022,2384.96031035283
"1110250",2022,876.6531558482
"2810630",2022,1819.89728391799
"2430141",2022,376.955987323396
"2430155",2022,775.900658094739
"3935150",2022,355.215529947076
"3970800",2022,407.087840317829
"2810800",2022,5168.37342620222
"4290850",2022,600.336299344364
"5550235",2022,77.9839376537129
"5550240",2022,364.667103383106
"5550245",2022,2206.22588862052
"5550250",2022,383.169191918336
"3100700",2022,1495.07972965566
"3100750",2022,2561.08393453764
"5550255",2022,267.252841800509
"3970550",2022,722.219446619507
"3970200",2022,1711.94917481393
"3970100",2022,378.74192484573
"3970300",2022,330.389294990498
"3235670",2022,165.795230519609
"1160450",2022,1154.1249559135
"5550415",2022,267.752183776101
"5550420",2022,8.27580496622249
"5550425",2022,247.599168540444
"5550435",2022,3219.70987632009
"5550440",2022,478.728997226804
"5550445",2022,1402.65927659893
"5550450",2022,764.059883698821
"5550463",2022,184.455063651782
"5550453",2022,205.17131321691
"5550458",2022,99.3356126053259
"5550470",2022,192.818464833777
"5550475",2022,144.558518541977
"5550480",2022,251.800191318267
"5550485",2022,577.691782031674
"5550155",2022,12425.6579195107
"5550165",2022,28186.1495086458
"5550353",2022,32713.2971414623
"5550333",2022,1845.48088128329
"5550380",2022,20049.7742389579
"5550405",2022,8330.22107452631
"5550430",2022,6151.6303402562
"5550505",2022,83090.5888394701
"5550540",2022,28285.59702861
"5550640",2022,119722.844071309
"5550660",2022,4851.48583447828
"5550030",2022,352.571645529009
"3235420",2022,402.791542375693
"3235520",2022,1400.0461208357
"3235540",2022,1174.25082821143
"3235600",2022,117.346652825829
"3235650",2022,250.444262680598
"5550575",2022,124.986786475405
"5550580",2022,196.952504949644
"5550585",2022,264.083733305262
"5550590",2022,107.173378059175
"5550595",2022,96.5104898787104
"5550600",2022,54.6764299161732
"5550605",2022,9.57181499898434
"5550610",2022,44.8854822376743
"5550615",2022,297.515974757727
"5550620",2022,528.911303793733
"5550630",2022,213.835927220993
"2430530",2022,1300.39390838802
"2430540",2022,1000.52431218827
"2430730",2022,530.059712143673
"2430735",2022,8058.03485342284
"2430710",2022,681.317405771921
"2430815",2022,1279.53436558355
"2430820",2022,1247.58749884626
"2430825",2022,1167.26862034274
"2430830",2022,1426.17005788509
"2430860",2022,2828.91193179016
"2430865",2022,1526.27040089396
"2430960",2022,777.716739356329
"1160650",2022,167.680000993925
"0605500",2022,1154.1964323307
"0605600",2022,485.484581565557
"2810850",2022,1753.54364600533
"2810870",2022,1301.81283836975
"1160600",2022,2896.48848568898
"5550625",2022,266.631925789989
"1150400",2022,1035.34949061996
"1150550",2022,475.011231883967
"0855100",2022,157.627055010642
"5550665",2022,49748.9924918667
"2430160",2022,1716.68114633787
"2430260",2022,6563.86997437016
"2430280",2022,2831.43411249592
"2430290",2022,1370.15197051771
"2430862",2022,422.437519864237
"2430880",2022,1462.77504312379
"5550180",2022,46.9541970346763
"5550185",2022,36.7603689562529
"5550190",2022,273.402018623427
"5550195",2022,326.772805243963
"5590075",2022,14389.86510452
"3340100",2022,717.412368297461
"2430695",2022,14.8150858430599
"5550260",2022,125.405939841643
"1505160",2022,45.3728717689955
"2490300",2022,643.806346721016
"2490500",2022,511.831164025236
"2490400",2022,1714.56076126918
"2490100",2022,563.647571772104
"2430085",2022,170.032923959239
"2430270",2022,2582.91070816974
"2430275",2022,466.130687199009
"2430312",2022,853.878523419226
"1160150",2022,872.583578358215
"1160300",2022,849.328835107744
"3235050",2022,7.19896899245214
"4290500",2022,147.87348856125
"1505564",2022,0.00722199998563156
"2430678",2022,1392.03375162341
"2430687",2022,6528.98506297575
"2430700",2022,1144.34521951195
"5590300",2022,32531.5934276916
"2430135",2022,200.86290283983
"2430330",2022,1389.12055280611
"2430350",2022,2467.14628380609
"2430390",2022,2940.14466268378
"2430400",2022,2099.62136327661
"2430520",2022,603.704934607426
"3235350",2022,28.7413259524328
"1505190",2022,13.8821499194673
"1505251",2022,6.23237399111986
"1505252",2022,7.45157387852669
"1505253",2022,6.93335101077469
"5550510",2022,602.006133044837
"5550515",2022,99.9060630174354
"5550520",2022,115.144543096423
"5550525",2022,270.833429636641
"5550530",2022,564.285582393386
"3235720",2022,251.571467045229
"5550050",2022,297.464312641881
"5550055",2022,345.405608573696
"5550060",2022,169.833682631142
"5550065",2022,703.298859084258
"5550070",2022,962.06353690126
"5550075",2022,19.3289550291374
"5550080",2022,717.256081724074
"5550085",2022,18.1743709770963
"4200600",2022,403.333681237103
"4200650",2022,3403.05561553066
"2430890",2022,870.855308068305
"2430950",2022,62.0539209828421
"2430170",2022,2835.76049099092
"2430250",2022,644.390529800214
